,links
0,https://shopee.sg/SD-BIOSENSOR-Standard-Q-Covid-19-AG-Home-Test-Antigen-Rapid-Self-Test-(ART)-Kit-1s-(Expiry-May-2023)-i.195238920.9681034792?sp_atk=ce252ccf-ade4-411e-bc83-b6baecd6153d
1,https://shopee.sg/Kodomo-Baby-Wipes-70'S-i.195238920.4018621126?sp_atk=7dcf2768-422f-44a5-9685-df924371bc2f
2,https://shopee.sg/Dr-Tung's-Smart-Dental-Floss-27M-i.195238920.3718716799?sp_atk=3a1e2c73-8793-4fb4-8278-4c30f627f0da
3,https://shopee.sg/Watsons-Goat-Milk-Cream-Bath-1L-i.195238920.3218807593?sp_atk=13e73fef-afe8-491f-b0d6-e2c1beb2e157
4,https://shopee.sg/WATSONS-Square-Puffs-Facial-Cotton-3x160s-(Extra-50percent)-i.195238920.3307800495?sp_atk=c01f05fb-0c62-4417-9cf3-13b621e01555
5,https://shopee.sg/ORITA-Dehumidifier-Charcoal-650ml-x-48s-(Per-Carton)-i.195238920.11731377409?sp_atk=d0bd60d6-a5d8-4467-abc3-698a98cb7b56
6,https://shopee.sg/Watsons-Rose-Cream-Bath-1L-i.195238920.3418740106?sp_atk=30bb174f-b764-45db-bbff-7e6441cc35aa
7,https://shopee.sg/WATSONS-Sugar-Free-Vitamin-C-Zinc-Orange-Flavour-(Immune-Support)-15s-x-3-Tubes-i.195238920.4909140645?sp_atk=fef77660-398b-470e-aa53-aff198cf54c7
8,https://shopee.sg/Rohto-Cool-Eye-Drops-13Ml-i.195238920.5918637414?sp_atk=762b961f-c0e7-4b51-8f97-e0e7d8cb5826
9,https://shopee.sg/Icm-Pharma-Icm-Pharma-Hygin-X-Antiseptic-Handrub-500Ml-i.195238920.7887912360?sp_atk=1bc808b9-4229-457f-a44b-e039e4c61170
10,https://shopee.sg/Watsons-Peach-Shower-Gel-1L-i.195238920.3318740133?sp_atk=40d99971-0662-463c-8402-4e079138e9c4
11,https://shopee.sg/Kinohimotsu-Stemcell-Drink-50ml-x-16s-6s-i.195238920.6879918224?sp_atk=ae5871a9-da7e-4f0b-869a-4ac3d6114c76
12,https://shopee.sg/Watsons-Aloe-Vera-Cream-Bath-1L-i.195238920.3218807585?sp_atk=028e2443-6222-447e-ac2d-50c17f555887
13,https://shopee.sg/Zyrtec-R-2X10S-i.195238920.4209140220?sp_atk=6195b69c-3b9c-471c-a0b1-f95019356892
14,https://shopee.sg/ORITA-Dehumidifier-Charcoal-3x650ml-i.195238920.5009140211?sp_atk=3a1b50bf-0ffd-4edd-8298-2f99fc5e44cc
15,https://shopee.sg/ORITA-Dehumidifier-Lavender-650ml-x-48s-(Per-Carton)-i.195238920.11231379489?sp_atk=037d0e77-8407-46df-bec8-c7c992a8ba63
16,https://shopee.sg/DR-BRONNER'S-Lavender-Castile-Liquid-Soap-946ml-i.195238920.5121385765?sp_atk=c77a0226-8efb-4640-a5ff-b4aa01823eb0
17,https://shopee.sg/Watsons-Lavender-Shower-Gel-1L-i.195238920.3418740136?sp_atk=385575ce-b639-4756-b0bd-3e54a3656aca
18,https://shopee.sg/Watsons-Mild-Soothing-Hand-Soap-500Ml-i.195238920.7907746712?sp_atk=b0d03498-91ff-493a-9a03-dac9264fec09
19,https://shopee.sg/Watsons-Shea-Butter-Peach-Scented-Cream-Hand-Wash-500ML-i.195238920.7907747000?sp_atk=90ee7d36-7e7b-4f54-bb92-7578aae7e30e
20,https://shopee.sg/Icm-Growell-Shampoo-75Ml-i.195238920.3918716758?sp_atk=9c7587b6-486e-4cc9-b2f0-df0ec6049118
21,https://shopee.sg/SOFY-Cooling-Fresh-Pantyliner-Regular-155mm-28's-i.195238920.10500404105?sp_atk=4a6557ef-0422-4fbd-b8bd-a5090c61e6cb
22,https://shopee.sg/Kirei-Kirei-Anti-Bacterial-Form-Hand-Soap-200Ml-Rf-Cberries-i.195238920.4018621122?sp_atk=f6b4cc82-380d-4bb5-a277-97b930988daf
23,https://shopee.sg/Watsons-Side-Sealed-Facial-Cotton-100S-i.195238920.5307705182?sp_atk=92d6004e-dbcd-4386-81cc-5e0abc2d91ec
24,https://shopee.sg/Once-A-Week-3S-Deodorant-i.195238920.4218624668?sp_atk=a9176b6c-cc6f-418f-ae43-a8f0fa5fc1c2
25,https://shopee.sg/Biore-Pore-Pack-10'S-Black-i.195238920.5718646415?sp_atk=47095f37-82a4-41d3-841b-a29941704928
26,https://shopee.sg/Watsons-Green-Tea-Shower-Gel-1L-i.195238920.3418740113?sp_atk=65e790b7-aeee-4380-ab5c-ac28cf384eb0
27,https://shopee.sg/Nin-Jiom-Pei-Pa-Koa-300Ml-i.195238920.4609140592?sp_atk=6ed9ecac-2167-471d-919b-59bc75585fe8
28,https://shopee.sg/KOTEX-Overnight-Panties-M-L-i.195238920.7187519849?sp_atk=54ee5540-62ac-412a-95c7-c09aa481a43a
29,https://shopee.sg/PEDIASURE-Gold-Classic-Vanilla-600g-x-4-Value-Pack-(For-1-12yrs-old)-i.195238920.4979190198?sp_atk=6b927277-49a6-4430-87ba-0d1446bafa31
30,https://shopee.sg/Icm-Pharma-Icm-Pharma-Hygin-X-Antiseptic-Handrub-Handrub-Spray-60Ml-i.195238920.10701550242?sp_atk=846d5874-d2d5-4dd2-9473-83dafb355819
31,https://shopee.sg/Orita-Dehumidifier-Lavender-650Mlx3-i.195238920.5009140202?sp_atk=7c9ec24b-8c9b-46e4-81c5-d5354bb98b8c
32,https://shopee.sg/Watsons-Animal-B.Wipes-Unscent-70S-i.195238920.3607842340?sp_atk=79346daf-cc3a-470d-9b15-f8033c718d0c
