,OriginalPrice,SalePrice,Discount,Ratings,Comments,Media,Brand,QtySold,Favourites,link,SubCat1,SubCat2,SubCat3,Content,LogQtySold,NORPercent
0,88.0,64.7,26,5.0,70,59,ORITA,203,64,https://shopee.sg/ORITA-Dehumidifier-Charcoal-650ml-x-48s-(Per-Carton)-i.195238920.11731377409?sp_atk=d0bd60d6-a5d8-4467-abc3-698a98cb7b56,Home Appliances,Cooling & Heating,Air Humidifier,957.0,5.313205979041787,0.49261083743842365
1,7.9,7.0,11,5.0,37,28,ROHTO,285,111,https://shopee.sg/Rohto-Cool-Eye-Drops-13Ml-i.195238920.5918637414?sp_atk=762b961f-c0e7-4b51-8f97-e0e7d8cb5826,Health & Wellness,OTC Medications,"Eye, Nose, Throat Care",296.0,5.652489180268651,0.23157894736842105
2,6.9,3.5,49,5.0,43,35,Watsons,303,92,https://shopee.sg/Watsons-Peach-Shower-Gel-1L-i.195238920.3318740133?sp_atk=40d99971-0662-463c-8402-4e079138e9c4,Beauty & Personal Care,Men's Grooming,Bath & Body Care,296.0,5.713732805509369,0.3465346534653465
3,138.9,69.0,50,5.0,60,48,KINOHIMITSU,253,45,https://shopee.sg/Kinohimotsu-Stemcell-Drink-50ml-x-16s-6s-i.195238920.6879918224?sp_atk=ae5871a9-da7e-4f0b-869a-4ac3d6114c76,Health & Wellness,Beauty Supplements,Collagen,1497.0,5.53338948872752,0.32806324110671936
4,27.6,24.1,13,4.9,39,35,Vapex,267,58,https://shopee.sg/Zyrtec-R-2X10S-i.195238920.4209140220?sp_atk=6195b69c-3b9c-471c-a0b1-f95019356892,Health & Wellness,OTC Medications,Others,336.0,5.58724865840025,0.2958801498127341
5,88.0,64.7,26,4.9,58,47,ORITA,142,34,https://shopee.sg/ORITA-Dehumidifier-Lavender-650ml-x-48s-(Per-Carton)-i.195238920.11231379489?sp_atk=037d0e77-8407-46df-bec8-c7c992a8ba63,Home Appliances,Cooling & Heating,Air Humidifier,979.0,4.955827057601261,0.5492957746478874
6,34.9,33.05,5,5.0,28,23,Dr. Bronner's,217,64,https://shopee.sg/DR-BRONNER'S-Lavender-Castile-Liquid-Soap-946ml-i.195238920.5121385765?sp_atk=c77a0226-8efb-4640-a5ff-b4aa01823eb0,Beauty & Personal Care,Bath & Body,Body Wash,1993.0,5.37989735354046,0.28110599078341014
7,3.0,2.2,27,4.9,23,21,Watsons,296,43,https://shopee.sg/Watsons-Mild-Soothing-Hand-Soap-500Ml-i.195238920.7907746712?sp_atk=b0d03498-91ff-493a-9a03-dac9264fec09,Beauty & Personal Care,Bath & Body,Hand Wash & Sanitizers,666.0,5.69035945432406,0.21621621621621623
8,3.45,3.25,6,5.0,20,15,SOFY,288,50,https://shopee.sg/SOFY-Cooling-Fresh-Pantyliner-Regular-155mm-28's-i.195238920.10500404105?sp_atk=4a6557ef-0422-4fbd-b8bd-a5090c61e6cb,Beauty & Personal Care,Feminine Care,Sanitary Pads & Pantyliners,291.0,5.662960480135946,0.18055555555555555
9,2.9,2.2,24,5.0,13,11,Watsons,195,37,https://shopee.sg/Watsons-Side-Sealed-Facial-Cotton-100S-i.195238920.5307705182?sp_atk=92d6004e-dbcd-4386-81cc-5e0abc2d91ec,Beauty & Personal Care,Beauty Devices & Tools,Makeup Accessories,702.0,5.272999558563747,0.1794871794871795
10,4.95,4.65,6,5.0,10,9,Biore,171,60,https://shopee.sg/Biore-Pore-Pack-10'S-Black-i.195238920.5718646415?sp_atk=47095f37-82a4-41d3-841b-a29941704928,Beauty & Personal Care,Men's Grooming,Face,296.0,5.14166355650266,0.2573099415204678
11,6.9,3.5,49,4.9,38,30,Watsons,216,30,https://shopee.sg/Watsons-Green-Tea-Shower-Gel-1L-i.195238920.3418740113?sp_atk=65e790b7-aeee-4380-ab5c-ac28cf384eb0,Beauty & Personal Care,Men's Grooming,Bath & Body Care,296.0,5.375278407684165,0.3425925925925926
12,6.7,6.7,0,5.0,23,20,Nin Jiom,149,23,https://shopee.sg/Nin-Jiom-Pei-Pa-Koa-300Ml-i.195238920.4609140592?sp_atk=6ed9ecac-2167-471d-919b-59bc75585fe8,Health & Wellness,OTC Medications,Traditional Medications,1124.0,5.003946305945459,0.21476510067114093
13,98.65,98.65,0,5.0,53,44,PediaSure,203,25,https://shopee.sg/PEDIASURE-Gold-Classic-Vanilla-600g-x-4-Value-Pack-(For-1-12yrs-old)-i.195238920.4979190198?sp_atk=6b927277-49a6-4430-87ba-0d1446bafa31,"Toys, Kids & Babies",Milk Formula (1 year+),Growing Up Milk (3 Years+),1865.0,5.313205979041787,0.39901477832512317
14,3.4,3.4,0,5.0,11,10,ICM Pharma,183,35,https://shopee.sg/Icm-Pharma-Icm-Pharma-Hygin-X-Antiseptic-Handrub-Handrub-Spray-60Ml-i.195238920.10701550242?sp_atk=846d5874-d2d5-4dd2-9473-83dafb355819,Health & Wellness,Medical Supplies,First Aid Supplies,647.0,5.209486152841421,0.16939890710382513
15,5.5,5.5,0,4.8,21,17,ORITA,320,38,https://shopee.sg/Orita-Dehumidifier-Lavender-650Mlx3-i.195238920.5009140202?sp_atk=7c9ec24b-8c9b-46e4-81c5-d5354bb98b8c,Home Appliances,Cooling & Heating,Air Humidifier,510.0,5.768320995793772,0.171875
16,2.0,2.0,0,5.0,18,16,Watsons,319,21,https://shopee.sg/Watsons-Animal-B.Wipes-Unscent-70S-i.195238920.3607842340?sp_atk=79346daf-cc3a-470d-9b15-f8033c718d0c,"Toys, Kids & Babies",Bath & Baby Care,Baby Wipes,377.0,5.765191102784844,0.11285266457680251
17,89.9,35.9,60,5.0,38,30,KINOHIMITSU,229,62,https://shopee.sg/KINOHIMITSU-Detox-Enzyme-Sachets-30s-D'Tox-Plum-Juice-6s-Watsons-Exclusive--i.195238920.8816459025?sp_atk=ad7492ac-e920-407f-9d63-374c18fd82b0,Health & Wellness,Weight Management,Detox,2340.0,5.43372200355424,0.29694323144104806
18,4.8,4.8,0,5.0,11,10,Po Chai,157,26,https://shopee.sg/PO-CHAI-Pills-20g-x-10-Bottles-(Traditional-Medication-for-diarrhea)-i.195238920.6709140151?sp_atk=8881b08e-b8b9-48fe-8630-469a54bd0b59,Health & Wellness,OTC Medications,Topical Ointment & Creams,520.0,5.056245805348308,0.21019108280254778
19,17.6,17.6,0,5.0,13,11,Vapex,154,20,https://shopee.sg/Zyrtec-R-Solution-1Mg-Ml-75Ml-i.195238920.4209140231?sp_atk=bdd0d7dd-12dd-4258-84dd-256260a9d587,Health & Wellness,OTC Medications,"Eye, Nose, Throat Care",436.0,5.0369526024136295,0.13636363636363635
20,2.2,2.2,0,4.9,20,18,Watsons,172,13,https://shopee.sg/Watsons-Extra-Large-Cotton.B-120S-i.195238920.3407800458?sp_atk=2723995d-c6c8-4230-b3c5-c167ca7e23e1,Health & Wellness,Medical Supplies,First Aid Supplies,553.0,5.147494476813453,0.2558139534883721
21,10.3,10.3,0,5.0,6,6,SCOTT'S,163,17,https://shopee.sg/Scott's-Vitamin-C-Mixed-Berries-100g-i.195238920.5679925260?sp_atk=aeeb7ccc-df8b-4ba6-97f4-0489c8fc51bc,"Toys, Kids & Babies",Feeding & Nursing,Kids and Baby Supplements,145.0,5.093750200806762,0.1656441717791411
22,9.75,6.8,30,5.0,8,8,Dove,175,11,https://shopee.sg/Dove-1L-Nutrium-Sensitive-i.195238920.3618716746?sp_atk=13a513e2-a4ac-4a1b-ade8-921ac9966dff,Beauty & Personal Care,Bath & Body,Deodorant,296.0,5.1647859739235145,0.14285714285714285
23,19.9,19.9,0,5.0,26,25,TSUBAKI,229,77,https://shopee.sg/TSUBAKI-Premium-Repair-Hair-Mask-Pink-Camellia-180g-(Limited-Edition)-Exclusive-to-Watsons--i.195238920.8342505143?sp_atk=b566db3a-7db3-43ee-a4da-5dd5996e8abc,Beauty & Personal Care,Women's Hair Care,Treatment,1489.0,5.43372200355424,0.21397379912663755
24,9.75,6.8,30,5.0,15,12,Dove,263,29,https://shopee.sg/Dove-1L-Nutrium-Beauty-Moisture-i.195238920.3618716715?sp_atk=99db1d6e-7d91-4ffc-849f-17712ccca1b1,Beauty & Personal Care,Skincare,Moisturizer,296.0,5.572154032177765,0.20912547528517111
25,43.0,43.0,0,4.9,34,28,Eucerin,149,39,https://shopee.sg/Eucerin-Ph5-Shower-Oil-Triple-Pack-400Ml-(Shower-Oil-Refill-Pack-X-2)K-i.195238920.9517021126?sp_atk=f5930b33-60d3-406b-b811-21eb2666c133,Beauty & Personal Care,Bath & Body,Body & Massage Oils,863.0,5.003946305945459,0.3959731543624161
